Year,World Population,US Population
2018,7631091040,326690000
2017,7547858925,324990000
2016,7464022049,322940000
2015,7379797139,320640000
2014,7295290765,318300000
2013,7210581976,315990000
2012,7125828059,313830000
2011,7041194301,311560000
2010,6956823603,309320000
2009,6872767093,306770000
2008,6789088686,304090000
2007,6705946610,301230000
2006,6623517833,298380000
2005,6541907027,295520000
2004,6461159389,292810000
2003,6381185114,290110000
2002,6301773188,287630000
2001,6222626606,284970000
2000,6143493823,282160000
1999,6064239055,279040000
1998,5984793942,275850000
1997,5905045788,272650000
1996,5824891951,269390000
1995,5744212979,266280000
1994,5663150427,263130000
1993,5581597546,259920000
1992,5498919809,256510000
1991,5414289444,252980000
1990,5327231061,246200000
1989,5237441558,246820000
1988,5145426008,244500000
1987,5052522147,242290000
1986,4960567912,240130000
1985,4870921740,237920000
1984,4784011621,235820000
1983,4699569304,233790000
1982,4617386542,231660000
1981,4536996762,229470000
1980,4458003514,227220000
1979,4380506100,225060000